Designator,Mid X,Mid Y,Rotation,Layer
BZ1,164.0,-102.80925,0.0,top
D1,133.5,-72.53925,270.0,top
D2,143.0,-72.80925,270.0,top
D3,153.5,-72.80925,270.0,top
D4,163.0,-72.80925,270.0,top
R1,129.0,-83.30925,270.0,top
R2,135.0,-83.34925,270.0,top
R3,142.0,-83.61925,270.0,top
R4,149.0,-83.34925,270.0,top
R5,161.5,-83.80925,180.0,top
SW1,112.59,-79.38925,270.0,top
SW2,108.41,-98.72925,90.0,top
SW3,181.91,-79.30925,90.0,top
SW4,181.91,-98.30925,90.0,top
U1,140.5,-104.04075,270.0,top
